-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";0;"AnimPos";3;0,00;0;
-900;2;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";0;"Door Open";0;0,00;0;
-900;3;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";0;"Coordinate";322;325,00;1;
-900;4;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";910;"Coordinate";328;325,00;1;
-900;5;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";5840;"Coordinate";350;325,00;1;
-900;6;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";6060;"Coordinate";356;325,00;1;
-900;7;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";6510;"Coordinate";364;325,00;1;
-900;8;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";8860;"Coordinate";347;325,00;1;
-900;9;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";8980;"Coordinate";336;325,00;1;
-900;10;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";9310;"Coordinate";356;325,00;1;
-900;11;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";10660;"Coordinate";336;325,00;1;
-900;12;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";10880;"Coordinate";328;325,00;1;
-900;13;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";11440;"Coordinate";322;325,00;1;
-900;14;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";11660;"Coordinate";342;325,00;1;
-900;15;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";11780;"Coordinate";350;325,00;1;
-900;16;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";12220;"Coordinate";356;325,00;1;
-900;17;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";12340;"Coordinate";328;325,00;1;
-900;18;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";12450;"Coordinate";342;325,00;1;
-900;19;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";12670;"Coordinate";350;325,00;1;
-900;20;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";13680;"Coordinate";342;325,00;1;
-900;21;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";13900;"Coordinate";350;325,00;1;
-900;22;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";14020;"Coordinate";342;325,00;1;
-900;23;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";14580;"Coordinate";350;325,00;1;
-900;24;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";14800;"Coordinate";350;328,00;1;
-900;25;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";15020;"Coordinate";356;328,00;1;
-900;26;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";15250;"Coordinate";350;325,00;1;
-900;27;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";15470;"Coordinate";356;325,00;1;
-900;28;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";15810;"Coordinate";356;328,00;1;
-900;29;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";15920;"Coordinate";364;328,00;1;
-900;30;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";16370;"Coordinate";364;330,00;1;
-900;31;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";16700;"Coordinate";364;328,00;1;
-900;32;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";17150;"Coordinate";364;325,00;1;
-900;33;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";17380;"Coordinate";364;328,00;1;
-900;34;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";17490;"Coordinate";364;325,00;1;
-900;35;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";18720;"Coordinate";364;328,00;1;
-900;36;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";19170;"Coordinate";356;328,00;1;
-900;37;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";19280;"Coordinate";356;330,00;1;
-900;38;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";19730;"Coordinate";356;328,00;1;
-900;39;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";19840;"Coordinate";356;325,00;1;
-900;40;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";20290;"Coordinate";378;325,00;1;
-900;41;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";20850;"Coordinate";375;325,00;1;
-900;42;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";20960;"Coordinate";392;325,00;1;
-900;43;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";22190;"Coordinate";375;325,00;1;
-900;44;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";22530;"Coordinate";370;325,00;1;
-900;45;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";23420;"Coordinate";375;325,00;1;
-900;46;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";23870;"Coordinate";370;325,00;1;
-900;47;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";24320;"Coordinate";375;325,00;1;
-900;48;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";24660;"Coordinate";378;325,00;1;
-900;49;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";24770;"Coordinate";392;325,00;1;
-900;50;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";25100;"Coordinate";392;328,00;1;
-900;51;14;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"20:50:24";"Te";25220;"Coordinate";384;328,00;1;
