-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";0;"AnimPos";3;0,00;0;
-900;2;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";0;"Door Open";0;0,00;0;
-900;3;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";100;"Coordinate";350;328,00;1;
-900;4;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";210;"Coordinate";342;328,00;1;
-900;5;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";3570;"Coordinate";342;319,00;1;
-900;6;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";3680;"Coordinate";342;322,00;1;
-900;7;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";3790;"Coordinate";342;319,00;1;
-900;8;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";4350;"Coordinate";342;322,00;1;
-900;9;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";4580;"Coordinate";350;319,00;1;
-900;10;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";4910;"Coordinate";342;319,00;1;
-900;11;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";5030;"Coordinate";350;319,00;1;
-900;12;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";5140;"Coordinate";342;319,00;1;
-900;13;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";5250;"Coordinate";342;316,00;1;
-900;14;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";5360;"Coordinate";342;319,00;1;
-900;15;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";5470;"Coordinate";350;328,00;1;
-900;16;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";5700;"Coordinate";342;328,00;1;
-900;17;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";7940;"Coordinate";342;322,00;1;
-900;18;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";8050;"Coordinate";342;328,00;1;
-900;19;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";10630;"Coordinate";342;322,00;1;
-900;20;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";10960;"Coordinate";342;319,00;1;
-900;21;8;35;4;"";"W";"";"";"";"";"";"";"";"11/28/2019";"21:58:08";"Te";11190;"Coordinate";350;319,00;1;
